,sBondCount,dBondCount,tBondCount,Energy
180,20,0,0,-85.77403999999888
181,20,1,0,-93.51838999999859
182,10,0,0,-40.978630000000074
183,18,1,0,-120.85217999999895
184,15,1,0,-108.5764799999988
185,20,0,0,-86.05488999999874
186,26,0,0,-111.38076999999794
187,15,0,0,-98.50315999999863
188,17,0,0,-73.72876999999993
189,23,0,0,-98.88831999999843
190,15,0,0,-98.55181999999856
191,12,1,0,-61.436489999999374
192,12,2,0,-68.1988599999995
193,14,1,0,-104.0376899999992
194,18,1,0,-86.75162999999861
195,30,1,0,-137.3215599999976
196,7,0,0,-28.694550000000163
197,9,0,0,-40.64127999999994
198,9,1,0,-48.43287000000021
199,27,1,0,-124.60517999999773
200,17,0,0,-73.24955999999997
201,33,1,0,-149.98245999999745
202,15,1,0,-74.07782999999904
203,17,0,0,-73.10837999999991
204,21,1,0,-99.39245999999844
205,11,1,0,-54.90827999999999
206,12,0,0,-146.02622999999903
207,13,0,0,-123.57316999999875
208,6,0,0,-58.83516999999961
209,6,0,0,-60.81308999999942
210,4,0,0,-44.58280000000002
211,5,1,0,-57.18025999999941
212,11,0,0,-111.05447000000004
213,11,0,0,-111.00808000000006
214,11,0,0,-111.04969000000028
215,8,0,0,-110.536340000001
216,12,0,0,-115.47513000000072
217,12,0,0,-115.57153999999993
218,12,0,0,-115.73910000000024
219,12,0,0,-115.44857000000047
220,12,0,0,-115.74397999999974
221,12,0,0,-115.78731000000015
222,22,0,0,-93.50608000000001
223,23,0,0,-98.77991999999836
224,23,0,0,-98.96888999999828
225,23,0,0,-98.88118999999823
226,23,0,0,-98.92012999999838
227,19,1,0,-87.94069999999998
228,17,0,1,-82.02024999999992
229,7,2,0,-39.29242000000022
230,6,0,0,-55.71061999999985
231,11,0,0,-111.76954999999998
232,11,0,0,-111.90423999999985
233,11,0,0,-111.7800699999998
234,11,0,0,-112.01658999999971
235,11,0,0,-111.69164999999977
236,11,0,0,-111.65372000000023
237,11,0,0,-111.71714999999996
238,11,0,0,-111.72181999999977
239,11,0,0,-111.81874999999992
240,11,0,0,-111.60485999999992
241,11,0,0,-111.70156999999972
242,11,0,0,-111.76022999999986
243,8,0,0,-111.4039000000007
244,8,0,0,-111.3901699999997
245,12,0,0,-116.33086000000047
246,12,0,0,-116.5278800000001
247,12,0,0,-116.56678000000014
248,12,0,0,-116.57199000000037
249,12,0,0,-116.61067000000004
250,12,0,0,-116.60713000000031
251,12,0,0,-116.50556999999979
252,12,0,0,-116.45991000000048
253,12,0,0,-116.44259999999987
254,12,0,0,-116.31345999999985
255,7,0,0,-25.069569999999658
256,13,2,0,-69.46341000000007
257,19,0,0,-80.87797999999998
258,20,0,0,-86.01987999999871
259,20,0,0,-86.236249999999
260,20,0,0,-86.3036099999988
261,16,1,0,-75.13432999999986
262,24,1,0,-111.98886999999831
263,24,0,0,-136.32227999999805
264,14,0,1,-69.33203999999989
265,56,3,0,-261.5740500000029
266,8,1,0,-78.26105999999936
267,54,3,0,-251.3427399999987
268,14,0,0,-93.4452699999988
269,6,0,0,-58.267219999999845
270,13,0,0,-53.59746000000007
271,7,0,0,-28.299759999999992
272,4,0,0,-15.606910000000026
273,10,0,0,-40.96675000000005
274,10,0,0,-41.01796999999999
275,18,1,0,-86.78360999999882
276,15,1,0,-73.7217399999988
277,17,0,0,-73.48709000000008
278,15,1,0,-74.1795399999994
279,18,0,0,-111.15426999999865
280,34,3,0,-169.53989999999976
281,20,2,0,-105.05934999999864
282,31,0,0,-131.62127999999802
283,30,2,0,-152.44456999999832
284,4,0,0,-17.605440000000016
285,11,1,0,-90.65703999999914
286,10,0,0,-77.89384999999925
287,25,0,0,-174.2262699999992
288,10,2,0,-56.95723999999996
289,17,0,0,-73.34950000000003
290,20,0,0,-86.0269899999987
291,20,0,0,-86.01742999999874
292,16,1,0,-75.16264999999999
293,17,0,0,-73.53706000000011
294,26,0,0,-111.54162999999791
295,26,0,0,-111.65790999999787
296,23,0,0,-98.9742199999985
297,23,0,0,-99.03418999999826
298,20,0,0,-86.27819999999883
299,20,0,0,-86.38677999999891
300,20,0,0,-86.19074999999884
301,26,0,0,-111.60575999999789
302,23,0,0,-98.93639999999823
303,20,0,0,-86.17388999999866
304,20,0,0,-86.32270999999878
305,9,1,0,-48.63292000000001
306,9,2,0,-55.3751999999995
307,13,0,0,-143.75939999999832
308,11,1,0,-91.2378499999993
309,4,0,0,-16.089769999999987
310,14,0,0,-60.31778000000008
311,17,1,0,-81.2734699999992
312,15,1,0,-73.94886999999926
313,27,1,0,-124.54467999999838
314,4,0,0,-16.686329999999998
315,20,0,0,-199.85301999999862
316,21,0,0,-88.47171999999989
317,18,1,0,-83.23015999999984
318,18,0,0,-75.86284999999998
319,11,1,0,-55.93352000000005
320,16,0,0,-136.40908999999849
321,6,1,0,-35.618910000000035
322,26,1,0,-119.19856999999796
323,23,1,0,-106.55859999999822
324,4,0,0,-15.606900000000053
325,17,1,0,-81.29616999999917
326,14,0,0,-60.475130000000036
327,4,2,0,-33.627489999999966
328,12,2,0,-68.24414999999931
329,11,0,0,-108.50931999999877
330,11,0,0,-108.54209999999875
331,19,0,0,-80.88008000000002
332,19,0,0,-80.8821999999999
333,20,1,0,-93.90951999999857
334,56,4,0,-268.65224000000666
335,14,0,0,-60.82794000000001
336,12,1,0,-61.272409999999134
337,14,0,0,-60.381419999999935
338,14,1,0,-68.61758000000009
339,17,0,0,-73.2719999999998
340,53,2,0,-238.21622999999767
341,16,0,0,-68.31233999999995
342,18,1,0,-86.57703999999876
343,44,0,0,-187.2734399999963
344,12,0,0,-166.4243899999983
345,8,0,0,-95.68928999999912
346,11,1,0,-91.46075999999948
347,11,1,0,-91.67134999999917
348,7,1,0,-73.89962999999943
349,8,1,0,-43.944460000000156
350,5,1,0,-31.253010000000014
351,11,1,0,-56.61221999999908
352,14,1,0,-69.28600999999911
353,10,1,0,-86.76843999999916
354,10,1,0,-86.73499999999922
355,11,0,0,-109.3645800000004
356,11,0,0,-109.47215000000095
357,25,1,0,-113.09731999999805
358,23,0,1,-107.27870999999823
359,48,2,1,-226.99593999999843
360,11,0,0,-110.10581000000047
361,11,0,0,-110.31851000000051
362,8,0,0,-109.63452000000099
363,12,0,0,-114.60471000000099
364,12,0,0,-114.76303000000007
365,12,0,0,-114.83134000000065
366,12,0,0,-114.94901000000029
367,12,0,0,-54.54507000000103
368,25,0,0,-106.141969999999
369,26,0,0,-111.40454999999793
370,26,0,0,-111.60221999999794
371,22,1,0,-100.43495999999935
372,20,0,1,-94.65987999999969
373,26,1,0,-118.90058999999792
374,6,0,0,-56.5649099999996
375,11,0,0,-112.39154999999936
376,11,0,0,-112.49734999999964
377,11,0,0,-112.23747999999931
378,11,0,0,-112.5044199999993
379,11,0,0,-112.7261199999998
380,11,0,0,-112.44231999999964
381,11,0,0,-112.43701999999985
382,8,0,0,-112.14472000000023
383,12,0,0,-117.10788000000002
384,12,0,0,-117.3437799999997
385,12,0,0,-117.10575999999992
386,7,0,0,-26.007900000000067
387,20,0,0,-89.12450999999851
388,21,0,0,-124.21236999999815
389,16,0,0,-68.21046999999999
390,31,0,0,-131.81361999999785
391,31,0,0,-131.65330999999765
392,31,0,0,-132.04839999999763
393,13,1,0,-62.447759999999896
394,13,1,0,-62.70175999999992
395,21,0,0,-123.68430999999805
396,11,0,1,-56.709010000000035
397,12,0,0,-182.1033399999992
398,19,1,0,-127.60964999999851
399,10,0,0,-131.24109999999905
400,14,0,0,-95.88513999999873
401,31,2,0,-220.94736999999938
402,13,0,0,-91.02033999999868
403,10,0,0,-78.23569999999927
404,12,2,0,-108.79770999999892
405,6,0,2,-86.1427599999995
406,53,4,0,-256.3478800000021
407,53,3,0,-245.83458999999854
408,10,0,0,-42.844730000000034
409,8,1,0,-42.85311999999999
410,7,0,1,-43.24639000000002
411,15,1,0,-74.05733999999894
412,15,0,0,-98.3708299999987
413,17,1,0,-116.70537999999851
414,21,1,0,-99.3702099999989
415,10,0,0,-41.79153000000008
416,12,1,0,-61.10110999999915
417,20,0,0,-85.86069999999881
418,10,1,0,-54.48743000000002
419,10,0,0,-146.730849999999
420,8,4,0,-64.95943999999963
421,9,1,0,-79.94880999999998
422,12,0,0,-84.52668999999902
423,50,2,0,-225.78832999999713
424,50,2,0,-225.7527599999976
425,11,0,0,-110.12791999999901
426,7,0,0,-24.212510000000066
427,4,0,0,-11.317440000000033
428,10,0,0,-74.97829999999931
429,10,0,0,-74.90856999999914
430,6,0,0,-57.361059999999725
