,sBondCount,dBondCount,tBondCount,Energy
128,15,0,0,-66.3637399999999
129,14,0,0,-61.11783000000014
130,7,0,0,-31.13389999999981
131,4,0,0,-20.58227000000011
132,6,2,0,-37.16571999999975
133,11,0,1,-61.25710000000004
134,7,0,0,-31.72687999999971
135,8,0,0,-37.73669999999971
136,5,1,0,-26.59398000000033
137,17,1,0,-81.2875499999991
138,15,1,0,-74.42830999999887
139,9,1,0,-47.45870999999988
140,11,0,0,-45.90188999999941
141,6,1,0,-33.48865999999998
142,6,1,0,-36.57097999999996
143,6,1,0,-38.1178500000001
144,7,0,0,-28.30359999999973
145,7,0,0,-28.226360000000113
146,7,0,0,-32.840740000000096
147,7,0,0,-34.308689999999835
148,27,1,0,-121.48392999999874
149,21,6,0,-153.52267000000163
150,62,4,0,-295.1855700000124
151,15,1,0,-74.587669999999
152,15,0,0,-64.58031999999912
153,22,2,0,-99.72867999999926
154,40,1,0,-212.17493999999851
155,43,1,0,-224.95644999999882
156,29,0,0,-234.95733999999948
157,20,0,0,-189.0365099999985
158,18,3,0,-142.41017999999985
159,22,1,0,-207.94990000000053
160,28,4,0,-157.30845999999883
161,20,3,0,-177.11038000000053
162,16,1,0,-79.71514999999954
163,20,0,0,-86.3222899999987
164,15,0,1,-74.6574299999993
165,18,1,1,-98.57806999999912
166,18,0,0,-81.99980999999843
167,57,4,0,-281.2333000000117
168,17,3,0,-104.41066
169,35,3,0,-179.4705399999994
170,22,0,0,-96.55007999999815
171,24,4,0,-139.52780000000442
172,23,1,0,-110.57017999999813
173,30,1,0,-241.3372400000003
174,39,2,0,-190.33076999999776
175,41,1,0,-181.98693999999801
176,63,1,0,-278.513770000016
177,21,1,0,-141.68104999999926
178,22,2,0,-109.03194999999846
179,20,1,2,-122.04744999999866
180,26,2,0,-125.84730999999806
181,7,0,0,-25.799849999999992
182,10,0,0,-40.08555000000001
183,16,0,0,-68.24387999999999
184,10,2,0,-56.956289999999974
185,15,0,0,-66.14553000000001
186,11,1,0,-55.57633999999996
187,8,2,0,-49.898950000000006
188,13,0,0,-55.095040000000154
189,10,0,0,-41.575539999999926
190,7,1,0,-35.82383000000005
191,8,1,0,-42.4509700000001
192,13,0,0,-58.90280999999993
193,10,0,0,-41.473979999999976
194,6,1,0,-34.74569999999994
195,6,2,0,-43.20739000000003
196,10,1,0,-54.31442000000004
197,8,1,0,-47.33069999999998
198,7,1,0,-38.697740000000074
199,7,0,0,-24.22948999999994
200,6,1,0,-34.47350999999981
201,11,1,0,-56.67375999999922
202,29,2,0,-147.0706099999984
203,18,2,0,-95.74579999999924
204,26,1,0,-115.5224899999985
205,17,0,0,-106.33365999999887
206,21,2,0,-168.70956999999908
207,31,0,0,-199.66043999999874
208,22,0,0,-129.06029999999828
209,32,0,0,-137.60282999999754
210,26,1,0,-115.19526999999836
211,15,1,0,-77.54621999999905
212,54,3,0,-251.40783999999888
213,21,3,0,-142.82570999999962
214,31,1,0,-146.17754999999806
215,30,3,0,-189.11295999999905
216,71,1,0,-310.6499200000153
217,15,2,0,-153.29255000000012
218,22,2,0,-205.32610000000028
219,22,2,0,-204.5907999999995
220,23,1,0,-213.36214999999947
221,17,1,0,-161.0472899999991
222,17,2,0,-160.659529999999
223,16,6,0,-175.28229000000462
224,11,3,0,-111.8915000000002
225,32,0,0,-207.2152599999981
226,17,1,0,-145.13591999999838
227,23,3,0,-157.23285999999825
228,56,4,0,-268.8113000000076
229,70,1,0,-305.3910700000088
230,10,1,0,-111.78197999999884
231,10,0,0,-106.5328299999992
232,41,2,0,-260.3097400000088
233,48,6,0,-268.9896899999894
234,32,2,0,-244.9454800000085
235,16,0,0,-171.33663999999814
236,36,2,0,-232.8771699999989
237,14,2,0,-147.68422999999984
238,44,2,0,-239.06670999999824
239,20,2,0,-207.55230999999958
240,46,2,0,-248.87198999999828
241,70,2,0,-349.97600000001694
242,22,2,0,-169.70940999999948
243,10,2,0,-116.39561999999931
244,14,2,0,-146.64315999999917
245,15,2,0,-152.7693499999996
246,19,2,0,-171.36271999999872
247,14,4,0,-145.93469000000005
248,14,4,0,-146.03166999999985
249,43,1,0,-259.9171899999992
250,14,0,1,-141.28898999999862
251,19,2,0,-159.53871000000024
252,9,1,0,-112.41620999999941
253,19,1,0,-125.5421299999989
254,24,1,0,-147.67935999999833
255,16,1,0,-114.61165999999866
256,20,2,0,-164.08245999999872
257,4,0,0,-79.47071999999956
258,22,1,0,-170.53203999999909
259,14,0,0,-96.61484999999857
260,10,0,0,-77.76572999999941
261,9,0,0,-76.35644999999886
262,13,2,0,-78.09867999999959
263,6,0,0,-51.27733999999987
264,3,3,0,-66.01101000000017
265,21,0,0,-94.71621999999843
266,13,0,0,-90.85803999999894
267,7,0,0,-63.53096999999957
268,8,1,0,-68.92927999999938
269,19,0,0,-116.3930999999984
270,11,1,0,-94.1901399999997
271,8,1,0,-77.47432999999933
272,21,2,0,-143.58185999999887
273,10,3,0,-106.31433000000015
274,12,2,0,-108.6388899999988
275,10,2,0,-97.61473999999909
276,15,1,0,-108.98942999999872
277,13,2,0,-110.57061999999952
278,9,1,0,-84.37428999999952
279,8,1,0,-78.73268000000007
280,25,1,0,-120.40730999999914
281,19,0,0,-116.04964999999834
282,31,0,0,-131.91473999999766
283,28,1,0,-126.79146999999784
284,10,1,0,-89.9402099999993
285,12,0,0,-88.78030999999918
286,8,0,0,-94.24224999999909
287,46,0,0,-195.01773999999702
288,17,4,0,-106.11290999999892
289,21,1,0,-102.47400999999901
290,28,1,0,-200.32176999999817
291,6,0,2,-86.14263999999956
292,29,0,0,-121.71793999999821
293,6,0,0,-91.7227599999992
294,10,0,0,-106.71433999999886
295,12,0,0,-132.51507999999876
296,27,0,0,-180.887249999998
297,13,0,0,-126.61421999999901
298,16,0,0,-171.3922199999984
299,21,0,0,-182.3980499999989
300,10,0,0,-106.507969999999
301,21,0,0,-126.58083999999805
302,13,0,0,-151.16862999999873
303,15,1,0,-141.54234999999838
304,12,1,0,-129.51540999999906
305,15,1,0,-108.22631999999884
306,12,1,0,-121.42532999999844
307,9,1,0,-112.29836999999952
308,22,0,0,-131.35537999999815
309,20,1,0,-127.76214999999868
310,13,0,0,-119.49546999999892
311,19,3,0,-105.15310999999859
312,18,1,0,-119.97352999999883
313,14,2,0,-111.53088999999886
314,14,2,0,-147.13565999999946
315,21,1,0,-132.8890299999989
316,22,1,0,-140.49465999999802
317,35,1,0,-195.42286999999808
318,22,1,0,-140.43611999999848
319,15,4,0,-93.76881999999887
320,24,1,0,-145.36478999999832
321,21,1,0,-134.36181999999917
322,20,1,0,-162.97154999999975
323,27,0,0,-116.74570999999789
324,23,2,0,-111.78866999999832
325,55,2,0,-254.1299100000024
326,13,2,0,-74.502199999999
327,14,0,0,-96.88725999999859
328,9,0,0,-71.74865999999929
329,7,0,0,-64.16995999999949
330,17,2,0,-91.9119699999992
331,10,0,0,-39.24505999999974
332,11,0,0,-45.103429999999435
333,10,0,0,-40.75728999999957
334,16,0,0,-71.55365999999981
335,12,0,0,-52.75635999999918
336,13,1,0,-65.41723999999999
337,9,1,0,-47.634499999999434
338,16,0,0,-68.31247000000008
339,11,1,0,-56.21247999999946
340,9,1,0,-48.575789999999635
341,25,1,0,-115.21768999999813
342,31,0,0,-167.14337999999725
343,28,0,0,-121.63819999999778
344,21,2,0,-111.15045999999849
345,34,1,0,-191.13862999999765
346,13,1,0,-102.6250499999992
347,14,0,0,-127.13874999999962
348,20,1,0,-167.92761999999814
349,14,3,0,-95.92770999999901
350,18,1,0,-87.03924999999892
351,16,1,0,-79.34283999999889
352,11,3,0,-74.71717999999942
353,24,1,0,-112.07273999999822
354,20,0,0,-86.00197999999888
355,17,0,0,-73.53846999999881
356,8,0,0,-62.57149999999933
357,11,0,0,-86.27988999999891
358,20,0,0,-121.79595999999832
359,14,2,0,-108.49371999999948
360,12,3,0,-109.79125999999953
361,31,0,0,-131.7819299999976
362,28,1,0,-126.69838999999772
363,7,2,0,-71.44982999999957
364,14,0,0,-96.35896999999865
365,13,0,0,-91.04250999999886
366,9,0,0,-71.53892999999924
367,7,1,0,-76.88398999999959
368,39,1,0,-249.2632000000085
369,14,1,0,-107.23595999999908
370,9,1,0,-83.64232999999967
371,8,3,0,-94.54962999999952
372,22,3,0,-115.96545999999876
373,10,1,0,-90.30536999999958
374,13,1,0,-102.53419999999916
375,19,0,0,-116.45968999999832
376,30,0,0,-126.44472999999789
377,24,2,0,-115.8529399999984
378,8,1,0,-79.42734999999948
379,10,2,0,-97.80302999999913
380,22,0,0,-96.3350199999984
381,18,2,0,-90.01601999999978
382,11,0,0,-83.56084999999963
383,5,0,1,-71.28273999999942
384,5,0,1,-71.32462999999963
385,9,0,0,-76.36141999999927
386,18,1,0,-85.7586199999987
387,20,0,0,-86.13692999999876
388,21,0,0,-91.06969999999865
389,12,1,0,-92.80677999999877
390,15,1,0,-108.65252999999892
391,18,0,0,-149.26533999999856
392,17,1,1,-127.55486999999948
393,39,1,0,-211.04314999999846
394,15,0,0,-133.9181099999987
395,18,0,0,-150.4744299999984
396,17,1,0,-155.58700999999837
397,16,1,0,-150.8172499999987
398,24,0,0,-136.69766999999797
399,32,0,0,-139.42135999999755
400,51,0,0,-224.22444999999743
401,21,3,0,-111.91134999999828
402,24,0,0,-106.80073999999807
403,34,0,0,-147.03856999999743
404,39,0,0,-167.06323999999677
405,30,2,0,-144.1186399999974
406,65,2,0,-295.0179899999994
407,12,0,0,-84.26742999999873
408,14,0,0,-96.05286999999862
409,14,0,0,-96.40428999999857
410,17,0,0,-108.55406999999857
411,15,1,0,-110.06263999999895
412,13,2,0,-110.99155999999948
413,19,3,0,-147.34191999999894
414,11,2,0,-92.7489699999992
415,28,2,0,-171.69990999999843
416,18,0,0,-113.26401999999916
417,34,0,0,-179.80678999999736
418,16,1,0,-110.50086999999873
419,36,0,0,-186.9692799999971
420,26,0,0,-111.34022999999796
421,21,0,0,-91.47269999999844
422,10,1,0,-85.79574999999886
423,14,0,0,-96.69791999999849
424,12,0,0,-88.81685999999874
425,14,0,0,-95.90504999999894
426,20,0,0,-86.01520999999889
427,15,0,1,-74.57828999999947
428,12,1,0,-60.42599999999925
429,13,2,0,-74.24738999999931
430,18,1,0,-86.86350999999874
431,18,1,0,-86.69657999999869
432,12,1,1,-74.18611999999963
433,20,0,0,-88.97530999999843
434,29,2,0,-143.10193999999862
435,32,3,0,-162.47581999999832
436,37,2,0,-178.00657999999794
437,26,2,0,-126.02520999999795
438,26,2,0,-126.00157999999784
439,27,1,0,-124.70804999999771
440,30,1,0,-137.36897999999744
441,16,4,0,-131.31467999999904
442,20,1,0,-93.85160999999857
443,18,1,0,-86.69269999999891
444,12,2,0,-73.21221999999966
445,22,0,0,-96.26622999999859
446,17,2,0,-92.23881999999912
447,23,1,0,-106.50612999999794
448,21,1,0,-99.25732999999876
449,35,2,0,-168.2397299999975
450,13,0,0,-54.451250000000066
451,5,0,1,-29.88526000000001
452,8,0,1,-43.98353999999996
453,11,0,0,-46.14223000000004
454,7,0,0,-28.03093999999999
455,7,1,0,-36.43495000000007
456,8,0,0,-34.684150000000045
457,10,0,0,-41.01810999999998
458,9,1,0,-47.81421999999998
459,4,0,1,-29.61032
460,11,0,0,-51.39594999999997
461,8,1,0,-42.390859999999975
462,6,0,1,-36.481919999999946
463,9,0,0,-40.680369999999925
464,3,2,0,-29.74893000000009
465,8,1,0,-42.03099999999995
466,6,1,0,-35.613149999999905
467,11,2,0,-60.37294999999926
468,10,2,0,-54.91998999999919
469,21,0,0,-91.84120999999844
470,16,1,0,-77.15452999999911
471,26,0,0,-108.92402999999807
472,34,2,0,-163.68089999999938
473,36,0,0,-152.22305999999753
474,30,1,0,-137.67268999999848
475,11,1,0,-57.34160999999926
476,21,1,0,-98.98073999999815
477,16,0,0,-66.84106999999996
478,19,0,0,-80.91229999999996
479,15,0,0,-66.13740999999914
480,12,1,0,-60.88890999999922
481,7,1,1,-54.632409999999936
482,12,1,0,-61.71272999999928
483,9,2,0,-56.12486999999942
484,11,1,0,-59.73497999999928
485,11,1,0,-59.334949999999246
486,15,0,0,-65.739139999999
487,16,0,0,-71.07601999999973
488,22,0,0,-93.33838000000004
489,20,0,0,-86.24045999999883
490,21,0,0,-91.52164000000015
491,15,1,0,-74.21490999999878
492,10,2,0,-61.96402999999964
493,8,3,0,-57.3615699999998
494,24,1,0,-143.13415999999867
495,9,0,0,-72.46962999999914
496,28,0,0,-121.96546999999828
497,21,1,0,-99.40631999999869
498,9,0,0,-76.74412999999959
499,14,0,0,-96.96900999999866
500,9,0,0,-88.22239999999942
501,3,3,0,-73.02679999999941
502,29,0,0,-124.19689999999788
503,26,1,0,-119.27609999999822
504,24,1,0,-112.14823999999815
505,21,0,0,-88.57193999999994
506,8,0,0,-71.23163999999986
507,20,0,0,-86.66322000000002
508,7,0,0,-63.73479999999995
509,8,0,0,-71.1973999999998
510,18,0,0,-78.41795999999907
511,8,0,0,-71.21208999999988
512,19,0,0,-84.19284999999991
513,7,0,0,-69.19331999999997
514,24,1,0,-112.0234199999984
515,53,2,0,-244.34638999999746
516,43,2,0,-203.54309999999802
517,15,0,1,-74.91059999999925
518,17,1,0,-80.26252999999906
519,20,0,0,-89.10650999999962
520,18,0,0,-78.4782599999985
521,10,0,0,-40.03357999999992
522,13,1,0,-62.49122
523,13,1,0,-62.65818999999999
524,15,0,0,-66.12895999999999
525,8,0,1,-48.451059999999856
526,14,0,0,-58.87126999999998
527,13,0,0,-58.52670000000001
528,12,0,0,-56.18425000000002
529,12,0,0,-52.87457999999992
530,15,0,0,-65.99680000000001
531,8,2,0,-49.15054999999995
532,13,0,0,-55.48707000000002
533,27,0,0,-114.36055999999779
534,8,3,0,-61.91996999999946
535,18,1,0,-86.76861999999868
536,14,2,0,-82.89005999999881
537,36,1,0,-162.6765899999973
538,41,2,0,-193.81414999999745
539,18,1,0,-86.44269999999891
540,16,1,0,-78.76837999999884
541,13,0,0,-52.71205999999995
542,13,0,0,-54.19871999999941
543,10,1,0,-48.49115999999958
544,18,0,0,-78.80983000000003
545,14,1,0,-68.20362999999998
546,15,0,0,-65.95746999999915
547,10,0,1,-54.52595999999949
548,17,0,0,-71.51694000000009
549,15,0,0,-65.10616999999911
550,11,1,0,-54.1115399999992
551,15,0,0,-65.71158999999898
552,16,0,0,-71.7109099999999
553,5,0,0,-58.33754999999997
554,15,0,0,-66.01152000000002
555,14,2,0,-80.47574999999937
556,28,0,0,-118.36710999999764
557,23,0,0,-102.04920999999857
558,12,2,0,-72.35293999999931
559,27,1,0,-124.548789999998
560,21,1,0,-99.6888599999984
561,19,1,0,-91.52680999999892
562,18,2,0,-96.37866999999868
563,29,2,0,-143.82186999999794
564,25,2,0,-126.33103999999958
565,17,1,0,-80.0868699999992
566,19,0,0,-87.31593999999859
567,18,0,0,-81.8874899999987
568,17,0,0,-76.48027999999863
569,16,0,0,-70.87061999999878
570,16,0,0,-69.17448999999874
571,20,0,0,-86.34732999999994
572,17,2,0,-92.46894999999904
573,20,1,0,-93.5680099999986
574,22,0,0,-96.60182999999823
575,21,0,0,-90.9573199999984
576,19,0,0,-83.07943999999861
577,28,0,0,-118.85630999999785
578,25,0,0,-105.40700999999807
579,27,0,0,-116.76395999999771
580,22,0,0,-95.84259999999857
581,18,0,0,-76.77209999999877
582,22,0,0,-95.32447999999864
583,25,1,0,-116.80792999999856
584,26,1,0,-121.78192999999874
585,27,0,0,-123.02185999999823
586,21,0,0,-89.10726999999883
587,23,0,0,-100.98609999999826
588,28,0,0,-121.11996999999792
589,26,0,0,-113.34811999999829
590,28,0,0,-120.74771999999805
591,29,0,0,-126.11526999999796
592,35,0,0,-158.78609999999753
593,34,0,0,-146.3872499999975
594,30,0,0,-131.20950999999786
595,44,0,0,-187.3121999999961
596,66,1,0,-289.4329099999959
597,56,0,0,-237.85938999999598
598,61,0,0,-257.88879999999557
599,23,1,0,-145.25623999999883
600,7,1,0,-37.19738000000001
601,14,1,0,-67.98270000000002
602,12,0,1,-62.08220999999993
